NR;Date;Time_Start;Time_End;Pathnr;Position;ObjectID
1;8-6-2023;10:17:33;10:17:34;5300;(-284290, 18288);robot_1 
2;8-6-2023;10:17:34;10:17:35;5300;(-284290, 18288);robot_1 
3;8-6-2023;10:17:35;10:17:36;5300;(-284290, 18288);robot_1 
4;8-6-2023;10:17:36;10:17:37;5300;(-284290, 18288);robot_1 
5;8-6-2023;10:17:37;10:17:38;5300;(-284002, 18264);robot_1 
6;8-6-2023;10:17:38;10:17:39;5300;(-284002, 18264);robot_1 
7;8-6-2023;10:17:39;10:17:40;5300;(-284237, 19145);robot_1 
8;8-6-2023;10:17:40;10:17:41;CentralAisle;(-284237, 19145);robot_1 
9;8-6-2023;10:17:41;10:17:42;CentralAisle;(-284237, 19145);robot_1 
10;8-6-2023;10:17:42;10:17:43;CentralAisle;(-284237, 19145);robot_1 
11;8-6-2023;10:17:43;10:17:44;CentralAisle;(-284840, 19826);robot_1 
12;8-6-2023;10:17:44;10:17:45;CentralAisle;(-284840, 19826);robot_1 
13;8-6-2023;10:17:45;10:17:46;CentralAisle;(-284618, 20718);robot_1 
14;8-6-2023;10:17:46;10:17:47;5302;(-284618, 20718);robot_1 
15;8-6-2023;10:17:47;10:17:48;5302;(-284618, 20718);robot_1 
16;8-6-2023;10:17:48;10:17:49;5302;(-284905, 19995);robot_1 
17;8-6-2023;10:17:49;10:17:50;5302;(-284905, 19995);robot_1 
18;8-6-2023;10:17:50;10:17:51;5302;(-284971, 19421);robot_1 
19;8-6-2023;10:17:51;10:17:52;5302;(-285372, 20718);robot_1 
20;8-6-2023;10:17:52;10:17:53;5302;(-285372, 20718);robot_1 
21;8-6-2023;10:17:53;10:17:54;5302;(-285622, 18846);robot_1 
22;8-6-2023;10:17:54;10:17:55;5302;(-285622, 18846);robot_1 
23;8-6-2023;10:17:55;10:17:56;5302;(-285622, 18846);robot_1 
